DRAFT YEAR,PLAYER,DRAFTTEAM,AFFILIATION,COLLEGE,TEAM,ROUNDNUMBER,ROUNDPICK,OVERALLPICK,Rk,Pos,Age,G,FGPER,3PPER,2PPER,FT,FTA,FTPER,ORB,DRB,TRB,PF,PTS
2021,Aaron Wiggins,Oklahoma City Thunder,Maryland,Yes,OKC,2,25,55,581,SG,23,50,0.463,0.304,0.573,1.2,1.7,0.729,1,2.5,3.6,1.9,8.3
2021,Ayo Dosunmu,Chicago Bulls,Illinois,Yes,CHI,2,8,38,143,SG,22,77,0.52,0.376,0.596,0.7,1,0.679,0.4,2.4,2.8,2.4,8.8
2021,Bones Hyland,Denver Nuggets,Virginia Commonwealth,Yes,DEN,1,26,26,261,SG,21,69,0.403,0.366,0.465,1.6,1.8,0.856,0.2,2.5,2.7,2.2,10.1
2021,Brandon Boston Jr.,Memphis Grizzlies,Kentucky,Yes,LAC,2,21,51,60,SG,20,51,0.385,0.306,0.425,1.2,1.4,0.819,0.3,1.8,2.2,0.8,6.7
2021,Cade Cunningham,Detroit Pistons,Oklahoma State,Yes,DET,1,1,1,124,SG,20,64,0.416,0.314,0.472,2.2,2.6,0.845,0.9,4.6,5.5,3.1,17.4
2021,Cam Thomas,Brooklyn Nets,Louisiana State,Yes,BRK,1,27,27,534,SG,20,67,0.433,0.27,0.52,1.3,1.6,0.829,0.2,2.2,2.4,1,8.5
2021,Charles Bassey,Philadelphia 76ers,Western Kentucky,Yes,PHI,2,23,53,36,C,21,23,0.638,0,0.698,0.4,0.5,0.75,1,1.7,2.7,1.4,3
2021,Chris Duarte,Indiana Pacers,Oregon,Yes,IND,1,13,13,151,SG,24,55,0.432,0.369,0.475,1.6,2,0.804,0.7,3.4,4.1,1.7,13.1
2021,Corey Kispert,Washington Wizards,Gonzaga,Yes,WAS,1,15,15,308,SF,22,77,0.455,0.35,0.629,0.7,0.8,0.871,0.7,2,2.7,1.2,8.2
2021,Dalano Banton,Toronto Raptors,Nebraska,Yes,TOR,2,16,46,29,PG,22,64,0.411,0.255,0.464,0.4,0.7,0.591,0.6,1.3,1.9,1.1,3.2
2021,David Johnson,Toronto Raptors,Louisville,Yes,TOR,2,17,47,282,SG,20,2,0,0,,0,0,,0,0,0,0,0
2021,Davion Mitchell,Sacramento Kings,Baylor,Yes,SAC,1,9,9,382,PG,23,75,0.418,0.316,0.48,0.7,1.1,0.659,0.4,1.8,2.2,1.9,11.5
2021,Day'Ron Sharpe,Phoenix Suns,North Carolina,Yes,BRK,1,29,29,500,PF,20,32,0.577,0.286,0.592,0.8,1.3,0.585,2.5,2.5,5,1.9,6.2
2021,Evan Mobley,Cleveland Cavaliers,Southern California,Yes,CLE,1,3,3,384,PF,20,69,0.508,0.25,0.541,2.4,3.7,0.663,2.1,6.2,8.3,2.1,15
2021,Franz Wagner,Orlando Magic,Michigan,Yes,ORL,1,8,8,559,SF,20,79,0.468,0.354,0.511,2.4,2.8,0.863,1.1,3.4,4.5,2.1,15.2
2021,Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),No,"TOT, MIL, OKC",2,30,60,302,SF,23,8.666666667,0.4606666667,0.4163333333,0.49,1.333333333,2.866666667,0.4623333333,0.4666666667,1.466666667,1.933333333,1.733333333,8.633333333
2021,Greg Brown III,New Orleans Pelicans,Texas,Yes,POR,2,13,43,75,SF,20,48,0.426,0.311,0.481,0.9,1.4,0.677,0.8,2,2.8,1.9,4.7
2021,Herbert Jones,New Orleans Pelicans,Alabama,Yes,NOP,2,5,35,294,PF,23,78,0.476,0.337,0.533,1.8,2.1,0.84,1.3,2.5,3.8,3.1,9.5
2021,Isaiah Jackson,Los Angeles Lakers,Kentucky,Yes,IND,1,22,22,269,C,20,36,0.563,0.313,0.584,1.7,2.4,0.682,1.7,2.5,4.1,2.6,8.3
2021,Isaiah Livers,Detroit Pistons,Michigan,Yes,DET,2,12,42,334,SF,23,19,0.456,0.422,0.538,0.6,0.7,0.857,0.8,2.2,3,1.9,6.4
2021,Isaiah Todd,Milwaukee Bucks,Ignite (G League),No,WAS,2,1,31,543,PF,20,12,0.269,0.25,0.3,0.2,0.5,0.333,0.3,0.8,1,0.3,1.7
2021,Jaden Springer,Philadelphia 76ers,Tennessee,Yes,PHI,1,28,28,515,SG,19,2,1,,1,0,0,,0.5,0.5,1,0,1
2021,Jalen Green,Houston Rockets,Ignite (G League),No,HOU,1,2,2,205,SG,19,67,0.426,0.343,0.502,2.8,3.5,0.797,0.5,2.9,3.4,1.5,17.3
2021,Jalen Johnson,Atlanta Hawks,Duke,Yes,ATL,1,20,20,283,PF,20,22,0.537,0.231,0.679,0.2,0.3,0.714,0.1,1.1,1.2,0.4,2.4
2021,Jalen Suggs,Orlando Magic,Gonzaga,Yes,ORL,1,5,5,522,PG,20,48,0.361,0.214,0.443,2.6,3.4,0.773,0.5,3,3.6,3,11.8
2021,James Bouknight,Charlotte Hornets,Connecticut,Yes,CHO,1,11,11,62,SG,21,31,0.348,0.347,0.348,0.9,1,0.871,0.7,1,1.7,0.9,4.6
2021,Jared Butler,Sacramento Kings,Baylor,Yes,UTA,2,10,40,86,SG,21,42,0.404,0.318,0.524,0.3,0.4,0.688,0.1,1,1.1,1.1,3.8
2021,Jeremiah Robinson-Earl,New York Knicks,Villanova,Yes,OKC,2,2,32,479,C,21,49,0.414,0.352,0.478,0.8,1.1,0.741,1.5,4.1,5.6,1.5,7.5
2021,Jericho Sims,New York Knicks,Texas,Yes,NYK,2,28,58,506,PF,23,41,0.722,,0.722,0.3,0.7,0.414,1.5,2.6,4.1,1.6,2.2
2021,Joe Wieskamp,San Antonio Spurs,Iowa,Yes,SAS,2,11,41,580,SG,22,29,0.357,0.326,0.462,0.2,0.4,0.538,0.1,0.3,0.5,0.5,2.1
2021,Jonathan Kuminga,Golden State Warriors,Ignite (G League),No,GSW,1,7,7,318,SF,19,70,0.513,0.336,0.598,1.9,2.7,0.684,0.8,2.6,3.3,2.1,9.3
