DRAFT YEAR,PLAYER,DRAFTTEAM,AFFILIATION,PUBLIC,TEAM,ROUNDNUMBER,ROUNDPICK,OVERALLPICK,Pos,Age,G,FGPER,TRB,PF,PTS
2021,Aaron Wiggins,Oklahoma City Thunder,Maryland,Yes,OKC,2,25,55,SG,23,50,0.463,3.6,1.9,8.3
2021,Ayo Dosunmu,Chicago Bulls,Illinois,Yes,CHI,2,8,38,SG,22,77,0.52,2.8,2.4,8.8
2021,Bones Hyland,Denver Nuggets,Virginia Commonwealth,Yes,DEN,1,26,26,SG,21,69,0.403,2.7,2.2,10.1
2021,Brandon Boston Jr.,Memphis Grizzlies,Kentucky,Yes,LAC,2,21,51,SG,20,51,0.385,2.2,0.8,6.7
2021,Cade Cunningham,Detroit Pistons,Oklahoma State,Yes,DET,1,1,1,SG,20,64,0.416,5.5,3.1,17.4
2021,Cam Thomas,Brooklyn Nets,Louisiana State,Yes,BRK,1,27,27,SG,20,67,0.433,2.4,1,8.5
2021,Charles Bassey,Philadelphia 76ers,Western Kentucky,Yes,PHI,2,23,53,C,21,23,0.638,2.7,1.4,3
2021,Chris Duarte,Indiana Pacers,Oregon,Yes,IND,1,13,13,SG,24,55,0.432,4.1,1.7,13.1
2021,Corey Kispert,Washington Wizards,Gonzaga,No,WAS,1,15,15,SF,22,77,0.455,2.7,1.2,8.2
2021,Dalano Banton,Toronto Raptors,Nebraska,Yes,TOR,2,16,46,PG,22,64,0.411,1.9,1.1,3.2
2021,David Johnson,Toronto Raptors,Louisville,Yes,TOR,2,17,47,SG,20,2,0,0,0,0
2021,Davion Mitchell,Sacramento Kings,Baylor,No,SAC,1,9,9,PG,23,75,0.418,2.2,1.9,11.5
2021,Day'Ron Sharpe,Phoenix Suns,North Carolina,Yes,BRK,1,29,29,PF,20,32,0.577,5,1.9,6.2
2021,Evan Mobley,Cleveland Cavaliers,Southern California,No,CLE,1,3,3,PF,20,69,0.508,8.3,2.1,15
2021,Franz Wagner,Orlando Magic,Michigan,Yes,ORL,1,8,8,SF,20,79,0.468,4.5,2.1,15.2
