DRAFT YEAR,PLAYER,TEAM DRAFTED BY,PRE-DRAFT AFFILIATION,TEAMS FOR 21-22 SEASON,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK",Rk,Pos,Age,G,GS,MP,FG,FGA,FGPER,3P,3PA,3PPER,2P,2PA,2PPER,eFGPER,FT,FTA,FTPER,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021,Aaron Wiggins,Oklahoma City Thunder,Maryland,OKC,2,25,55,581,SG,23,50,35,24.2,3.1,6.7,0.463,0.8,2.8,0.304,2.3,4,0.573,0.525,1.2,1.7,0.729,1,2.5,3.6,1.4,0.6,0.2,1.1,1.9,8.3
2021,Ayo Dosunmu,Chicago Bulls,Illinois,CHI,2,8,38,143,SG,22,77,40,27.4,3.6,6.9,0.52,0.9,2.4,0.376,2.7,4.5,0.596,0.585,0.7,1,0.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4,8.8
2021,Bones Hyland,Denver Nuggets,Virginia Commonwealth,DEN,1,26,26,261,SG,21,69,4,19,3.3,8.3,0.403,1.9,5.2,0.366,1.4,3.1,0.465,0.518,1.6,1.8,0.856,0.2,2.5,2.7,2.8,0.6,0.3,1.2,2.2,10.1
2021,Brandon Boston Jr.,Memphis Grizzlies,Kentucky,LAC,2,21,51,60,SG,20,51,0,14.9,2.5,6.4,0.385,0.7,2.2,0.306,1.8,4.2,0.425,0.437,1.2,1.4,0.819,0.3,1.8,2.2,1,0.5,0.3,0.6,0.8,6.7
2021,Cade Cunningham,Detroit Pistons,Oklahoma State,DET,1,1,1,124,SG,20,64,64,32.6,6.7,16.1,0.416,1.8,5.7,0.314,4.9,10.4,0.472,0.471,2.2,2.6,0.845,0.9,4.6,5.5,5.6,1.2,0.7,3.7,3.1,17.4
2021,Cam Thomas,Brooklyn Nets,Louisiana State,BRK,1,27,27,534,SG,20,67,2,17.6,3.3,7.5,0.433,0.7,2.6,0.27,2.6,4.9,0.52,0.48,1.3,1.6,0.829,0.2,2.2,2.4,1.2,0.5,0.1,0.8,1,8.5
2021,Charles Bassey,Philadelphia 76ers,Western Kentucky,PHI,2,23,53,36,C,21,23,0,7.3,1.3,2,0.638,0,0.2,0,1.3,1.9,0.698,0.638,0.4,0.5,0.75,1,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3
2021,Chris Duarte,Indiana Pacers,Oregon,IND,1,13,13,151,SG,24,55,39,28,4.9,11.3,0.432,1.7,4.6,0.369,3.2,6.7,0.475,0.507,1.6,2,0.804,0.7,3.4,4.1,2.1,1,0.2,1.6,1.7,13.1
2021,Corey Kispert,Washington Wizards,Gonzaga,WAS,1,15,15,308,SF,22,77,36,23.4,3,6.7,0.455,1.5,4.2,0.35,1.6,2.5,0.629,0.564,0.7,0.8,0.871,0.7,2,2.7,1.1,0.5,0.3,0.6,1.2,8.2
2021,Dalano Banton,Toronto Raptors,Nebraska,TOR,2,16,46,29,PG,22,64,1,10.9,1.3,3.2,0.411,0.2,0.8,0.255,1.1,2.4,0.464,0.443,0.4,0.7,0.591,0.6,1.3,1.9,1.5,0.4,0.2,0.8,1.1,3.2
